,sentiments,labels
451,"Senators Panfilo Lacson and Richard Gordon took their gloves off in hitting back at President Duterte, who has been asking the public and government agencies to ignore the COA and the Senate while belittling the chamber’s probes.   https://t.co/DgfDEIxSix",Negative
452,"Senators Panfilo Lacson and Richard Gordon took their gloves off in hitting back at President Duterte, who has been asking the public and government agencies to ignore the COA and the Senate while belittling the chamber’s probes. | via @onenewsph   https://t.co/nXZeALtHgp",Negative
453,"As the deadline for the release of special risk allowances of healthcare workers lapses, President Rodrigo Duterte defended the health department amid criticisms.  https://t.co/JF6TZHUaJZ",Negative
463,"'NANGAKO AKO SA PANGULO, HINDI KO SIYA IIWANAN.'  Senator Bong Go slammed fellow Senator Richard Gordon for questioning his closeness with President Rodrigo Duterte. He also said Senate inquiries should not lead to “bullying” to uncover anomalies.  READ:  https://t.co/1nP9d9QsPA  https://t.co/f8IU6DmCex",Negative
465,Sen. Bong Go takes a swipe at Senate Blue Ribbon Committee chairperson Sen. Richard Gordon for questioning his closeness with President Duterte.  https://t.co/9cYmavrmkG,Negative
469,Doesn’t the Philippines want investors over?  This was President Duterte’s reaction to attacks against former economic adviser Michael Yang who is linked to the issue of overpriced medical supplies in the COVID-19 pandemic.  READ MORE:  https://t.co/ZgV8L8MPCC  #NowYouKnow #NYK  https://t.co/fMDFc3hon4,Negative
472,"@pinoyanghang Manny Pacquiao has 8 defeats at two times siya knockout. Duterte since he became mayor until he became president is undefeated. He has zero lose in elections. He even knockout ABS CBN, Mar Roxas, Binay, Grace Poe. Ocho derecho na derecho sa inidoro etc. Lahat bumangga ay nagiba  https://t.co/llABJ0szA1",Negative
473,"[1/2] READ: “Buy immediately. Never mind about bidding,” President Rodrigo Duterte recalling his earlier statement when the government resorted to emergency procurement of medical supplies needed to combat #Covid19.  https://t.co/8b6gEjdQW3",Negative
476,A senator closely allied with President Rodrigo Duterte on Tuesday asked Sen. Richard Gordon to inhibit himself from the Blue Ribbon Committee's inquiry into deficiencies in pandemic spending that had been flagged by state auditors.    https://t.co/uCPGzwKJIb,Negative
487,"President Rodrigo Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/hGwBHAQYTV",Negative
494,Senator Richard Gordon bucked President Duterte’s warning he would bar Cabinet members from attending congressional inquiries saying this would mean that he is hiding something.  READ:  https://t.co/EwBNXKVIZv  https://t.co/NoxUvETKdC,Negative
497,Sen. Bong Go hit Sen. Richard Gordon for questioning his close ties to President Rodrigo Duterte even as he was a senator now.  https://t.co/1s5nLxVmPs,Negative
505,"Fearing electoral backlash, he then backed off from days-old nomination for president by one faction of PDP-Laban.  ✊🏾 Duterte himself responded by downplaying legislative inquiries (walang mangyari, although he used the same venue to crucify De Lima with fake sex videos). 👇👇",Negative
506,"Pduts and Go pag may LQ:  Duterte: “Mahal mo ba ako dahil kailangan mo ako? … O kailangan mo ako kaya mahal mo ako?”  Bong Go: ""Oh yes, alalay mo ako. Alalay mo lang ako... And I'm so stupid to make the biggest mistake of falling in love with my President.""  https://t.co/caqKrKMkFg",Negative
507,President Rodrigo Duterte has extended the ban on travelers from India and nine other countries until September 5. | via @pr1ncegolez  https://t.co/P6beWxkxpf,Negative
508,"President Rodrigo Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/u9vt9EN3lG",Negative
509,"@nicoquejano para maka resign na rin si president duterte, prove it to him show some data",Negative
512,"President Rodrigo Duterte extends the ban on travelers from India, Pakistan, Bangladesh, Sri Lanka, Nepal, United Arab Emirates, Oman, Thailand, Malaysia and Indonesia until September 5, says Malacañang. @Politiko_Ph @AbanteNews",Negative
513,"The Philippines' COVID-19 death toll is fewer than that of other countries, President Rodrigo Duterte says a day after the country recorded 22,366 new cases, the highest since the pandemic began.  Read more:  https://t.co/0FD4QOGeEB  https://t.co/Xr18Wfdymh",Negative
515,"President Duterte, in his recorded ‘Talk to the People,’ says he will resign as president if anybody can name a country that is prepared since the onset of the #COVID19 pandemic.  https://t.co/Bwu1fowZht",Negative
521,gago i want a relationship like bong go and president duterte 😞👉🏻👈🏻,Negative
523,@zzzrintarou uhm… it’s just a hashtag to cancel philippine’s president which is “duterte”,Negative
524,Mema Leni ha! Hindi na naman pala nag request ng SALN copy ni President Duterte sa Ombudsman. Ano yan si Digong paba kukuha for u?,Negative
526,"President Duterte defends his former economic adviser Michael Yang from allegations.  Yang, who was previously accused of being linked to drug syndicates, reportedly has ties to PH government's biggest supplier of medical goods during the pandemic.  More:  https://t.co/ycC9vK8K8X  https://t.co/DRojyqMeEg",Negative
527,"We all know that so long as Duterte is President, nothing will happen. Worst case, someone will be fired and reassigned. Sadly, some caretaker will end up in jail.",Negative
529,ICYMI: President Rodrigo Duterte criticized Sen. Richard Gordon for his weight and accused the lawmaker of Sinophobia.   https://t.co/wUFqGXAbam,Negative
531,"After the country recorded a new all-time high of new cases, President Rodrigo Duterte said the country's COVID-19 death toll is fewer than other countries' fatalities — a remark that drew flak.  https://t.co/0FD4QOXQ3b",Negative
536,"pReSidEnT DUTERTE, those are not just numbers. Those are actual people, YOUR PEOPLE, who are dying. Lagpas isang taon na. Lagpas isang taon na, incompetent ka na nga sa actions, incompetent ka pa sa statements na nilalabas mo.",Negative
539,"Gordon says there have been repeated attempts to distract the Senate probe such as Pres. Duterte’s recent tirades, hits the President for going after institutions instead of corrupt officials.",Negative
540,Human rights lawyer Chel Diokno offered some advice to Senator Richard Gordon as a consistent target of ad hominem attacks.  Gordon was teased on Monday by President Rodrigo Duterte for his weight. Diokno also received attacks from the President last 2018 for his teeth.  https://t.co/flnntBFMkR,Negative
542,President Duterte hurls insults at senators probing the government's use of pandemic response funds  https://t.co/OgTqG7O3nK,Negative
547,Senators Richard Gordon and Panfilo Lacson responded to President Duterte's personal attacks against them in his pre-recorded national address.  READ FULL STORY:  https://t.co/U1k1RRpcPA  Article by ABS CBN NEWS  #NowYouKnow #NYK  https://t.co/gRycIGQAkp,Negative
548,"Senator Richard Gordon remains unfazed by insults thrown against him by President Rodrigo Duterte, as he stood by his Senate committee’s probe into the “overpriced” medical items purchased at the height of the pandemic.  READ:  https://t.co/wQJle3k1To 📰 https://t.co/SE3wS23zrb  https://t.co/6Zza5Xc7JR",Negative
549,"Senator Panfilo Lacson on Tuesday brushed off President Rodrigo Duterte’s rants as against him, saying the Chief Executive is now in “panic mode” and attempting to discourage the Senate from probing the purchase of “overpriced” pandemic response supplies.  https://t.co/HhSmBqDuiJ",Negative
551,Former Presidential Spokesperson and Cabinet Secretary Edwin Lacierda airs his frustrations on President Duterte's comments on senators' looks during his address.  #NowYouKnow #NYK  https://t.co/8btJkZIpGU,Negative
553,"""Ang gusto po ng kalaban is to discredit the COVID response of the administration,"" said the senator close to President Duterte. | @MAgerINQ  https://t.co/esiagEUmQu",Negative
558,okay so the cases increasing day by day and duterte really decided to shit on people's appearance??? this is ph's president??? putangina,Negative
559,"On criticisms vs the Senate Blue Ribbon panel's investigation, Gordon cites ""repeated attempts to distract the investigation, no less than from our own President of the Republic of the Philippines, Rodrigo Roa Duterte"". | via @MBvanneelaine",Negative
565,"Duterte running for VP because 'there is no opposition' - PRESIDENT Rodrigo Duterte on Tuesday expressed confidence that the opposition will ""not win"" in the May 9, 2022 national... -  https://t.co/xovdM4ydpD  https://t.co/e7zdY6xktN",Negative
566,"On criticisms vs the Senate Blue Ribbon panel's investigation, Gordon cites ""repeated attempts to distract the investigation, no less than from our own President of the Republic of the Philippines, Rodrigo Roa Duterte"". @manilabulletin",Negative
569,"President Rodrigo Duterte has challenged the Commission of Audit to publish the number of criminal cases filed against its General Auditing Office. Earlier, the COA has flagged itself for its budget management  https://t.co/1lVc5z3brx",Negative
571,"Senator Bong Go should explain why he did not defend the Senate after President Rodrigo Duterte criticized it for investigating the alleged overpricing of pandemic supplies, Senator Richard Gordon said Tuesday.  https://t.co/1Ozoxc8P12  https://t.co/sAQvpLwlfr",Negative
574,@News5PH @camillesmnte Go showed a video of President Duterte during the session defending his controversial appointments. (via News5/Camille Samonte)  https://t.co/JNp8ByOSir,Negative
576,“Are you honest?”  President Duterte posed this question to Senator Panfilo Lacson after the chief executive criticized the Senate blue ribbon committee’s investigation on the state auditor’s flagged “deficiencies” in handling pandemic funds. | @CMRamosINQ  https://t.co/1bfPGoQW2g,Negative
579,Go: Mr. President kami po ni Pang. Duterte ay mga probinsyano po rito. Kami po ay tumutulong magserbisyo sa mga tao.,Negative
580,"@KakanTuring WTF is Go saying during the senate plenary. He is like a child complaining of being maltreated by Senate President. On national television. No difference from duterte, henis SICK!",Negative
581,Sen. Richard Gordon raised the possibility that his committee’s investigation into the controversial purchase of “overpriced” pandemic-related goods could reach as high as President Rodrigo Duterte. | @CMRamosINQ  https://t.co/KWNOp7rv81,Negative
